realization,sample,temperature,kin_energy,pot_energy
1,1,0.931677,1.397516,-2.145794
1,2,0.899667,1.349501,-2.092990
1,3,0.841929,1.262894,-2.005320
1,4,0.858422,1.287633,-2.022379
1,5,0.846902,1.270353,-2.003212
1,6,0.840993,1.261490,-1.991002
1,7,0.829639,1.244459,-1.977600
1,8,0.817915,1.226872,-1.953966
1,9,0.813748,1.220622,-1.946210
1,10,0.800116,1.200175,-1.929039
1,11,0.794625,1.191938,-1.917985
1,12,0.782237,1.173356,-1.894034
1,13,0.769831,1.154747,-1.871519
1,14,0.762664,1.143995,-1.867622
1,15,0.768473,1.152710,-1.865930
1,16,0.753327,1.129991,-1.843516
1,17,0.769627,1.154441,-1.867339
1,18,0.792565,1.188848,-1.900679
1,19,0.775362,1.163044,-1.876382
1,20,0.797323,1.195985,-1.913954
1,21,0.790326,1.185489,-1.897671
1,22,0.787820,1.181730,-1.894343
1,23,0.785643,1.178465,-1.895443
1,24,0.794662,1.191992,-1.903991
1,25,0.772598,1.158896,-1.869281
1,26,0.786100,1.179150,-1.887115
1,27,0.767963,1.151944,-1.860309
1,28,0.777741,1.166612,-1.875940
1,29,0.772399,1.158598,-1.870958
1,30,0.786476,1.179715,-1.888925
1,31,0.765540,1.148310,-1.861449
1,32,0.749818,1.124726,-1.836608
1,33,0.780188,1.170283,-1.874389
1,34,0.729679,1.094519,-1.794177
1,35,0.755495,1.133243,-1.830290
1,36,0.717566,1.076349,-1.770959
1,37,0.741836,1.112755,-1.813991
1,38,0.732384,1.098576,-1.805076
1,39,0.753523,1.130284,-1.840322
1,40,0.778081,1.167121,-1.888198
1,41,0.778190,1.167285,-1.887872
1,42,0.774116,1.161174,-1.880502
1,43,0.793057,1.189586,-1.912224
1,44,0.783524,1.175285,-1.896076
1,45,0.797336,1.196004,-1.911114
1,46,0.789174,1.183761,-1.907570
1,47,0.728773,1.093159,-1.812762
1,48,0.782858,1.174287,-1.898726
1,49,0.764891,1.147336,-1.872872
1,50,0.778707,1.168061,-1.891910
1,51,0.751696,1.127544,-1.850410
1,52,0.778076,1.167113,-1.886932
1,53,0.799052,1.198577,-1.925529
1,54,0.768684,1.153026,-1.881450
1,55,0.817093,1.225640,-1.952450
1,56,0.826813,1.240220,-1.972376
1,57,0.788736,1.183105,-1.913222
1,58,0.805224,1.207836,-1.942185
1,59,0.792510,1.188765,-1.920419
1,60,0.778701,1.168051,-1.897019
1,61,0.785905,1.178857,-1.902238
1,62,0.781386,1.172078,-1.895175
1,63,0.765503,1.148255,-1.867772
1,64,0.821964,1.232946,-1.947718
1,65,0.774253,1.161379,-1.880879
1,66,0.812271,1.218407,-1.940915
1,67,0.802733,1.204100,-1.923715
1,68,0.800111,1.200167,-1.916425
1,69,0.804480,1.206721,-1.929278
1,70,0.807771,1.211656,-1.933408
1,71,0.806032,1.209048,-1.931536
1,72,0.799962,1.199943,-1.922996
1,73,0.778455,1.167683,-1.884867
1,74,0.807664,1.211496,-1.930362
1,75,0.786908,1.180362,-1.897386
1,76,0.802624,1.203936,-1.913267
1,77,0.784994,1.177491,-1.889951
1,78,0.807077,1.210615,-1.929319
1,79,0.786809,1.180214,-1.907528
1,80,0.781180,1.171771,-1.901679
1,81,0.810258,1.215387,-1.945115
1,82,0.803671,1.205507,-1.945534
1,83,0.825993,1.238990,-1.978854
1,84,0.809489,1.214234,-1.953941
1,85,0.826002,1.239002,-1.985834
1,86,0.806055,1.209083,-1.955199
1,87,0.845061,1.267592,-2.014739
1,88,0.781016,1.171524,-1.912057
1,89,0.846491,1.269736,-2.012796
1,90,0.859279,1.288918,-2.033321
1,91,0.849464,1.274195,-2.022673
1,92,0.877184,1.315776,-2.061039
1,93,0.858662,1.287993,-2.032423
1,94,0.839203,1.258805,-2.000095
1,95,0.812731,1.219097,-1.962733
1,96,0.808852,1.213278,-1.959671
1,97,0.819615,1.229422,-1.968499
1,98,0.804689,1.207034,-1.941912
1,99,0.827192,1.240789,-1.976568
1,100,0.862510,1.293764,-2.020438
1,101,0.815258,1.222887,-1.957648
1,102,0.806902,1.210353,-1.945519
1,103,0.815268,1.222902,-1.951934
1,104,0.818722,1.228083,-1.952656
1,105,0.821926,1.232890,-1.952138
1,106,0.785889,1.178833,-1.897450
1,107,0.786276,1.179414,-1.905173
1,108,0.791901,1.187852,-1.909245
1,109,0.757180,1.135770,-1.855057
1,110,0.781345,1.172018,-1.889200
1,111,0.781917,1.172875,-1.893249
1,112,0.794343,1.191514,-1.912077
1,113,0.814751,1.222127,-1.947363
1,114,0.839245,1.258868,-1.992704
1,115,0.828834,1.243251,-1.981246
1,116,0.828479,1.242718,-1.987410
1,117,0.838617,1.257926,-1.996772
1,118,0.845586,1.268378,-2.003650
1,119,0.830999,1.246499,-1.971483
1,120,0.826884,1.240327,-1.972545
1,121,0.808134,1.212201,-1.942208
1,122,0.828262,1.242393,-1.968256
1,123,0.775288,1.162931,-1.886421
1,124,0.795420,1.193130,-1.923408
1,125,0.799648,1.199473,-1.932530
1,126,0.803157,1.204735,-1.938950
1,127,0.792040,1.188060,-1.922666
1,128,0.795442,1.193163,-1.925854
1,129,0.776706,1.165059,-1.892600
1,130,0.791625,1.187438,-1.917634
1,131,0.787003,1.180504,-1.904953
1,132,0.794691,1.192037,-1.921040
1,133,0.838904,1.258355,-1.982998
1,134,0.790146,1.185219,-1.908072
1,135,0.805646,1.208470,-1.932457
1,136,0.812038,1.218056,-1.941931
1,137,0.777865,1.166797,-1.890171
1,138,0.795395,1.193093,-1.915643
1,139,0.771094,1.156641,-1.879057
1,140,0.753676,1.130513,-1.859877
1,141,0.784981,1.177472,-1.910533
1,142,0.783426,1.175139,-1.908668
1,143,0.795499,1.193248,-1.936938
1,144,0.823927,1.235890,-1.979281
1,145,0.809259,1.213888,-1.962961
1,146,0.828757,1.243136,-1.988504
1,147,0.837406,1.256109,-2.005512
