realization,sample,temperature,kin_energy,pot_energy
1,1,1.028416,1.542624,-2.148441
1,2,0.974140,1.461210,-2.066263
1,3,0.982447,1.473670,-2.078062
1,4,0.964706,1.447058,-2.051729
1,5,0.960890,1.441335,-2.046049
1,6,0.944544,1.416817,-2.021329
1,7,0.948035,1.422052,-2.026191
1,8,0.914449,1.371673,-1.976989
1,9,0.917616,1.376424,-1.981453
1,10,0.891543,1.337315,-1.941999
1,11,0.871591,1.307387,-1.911562
1,12,0.890193,1.335290,-1.939869
1,13,0.925341,1.388012,-1.992878
1,14,0.871109,1.306663,-1.910835
1,15,0.880209,1.320313,-1.924757
1,16,0.885640,1.328459,-1.933106
1,17,0.870250,1.305375,-1.910029
1,18,0.871814,1.307721,-1.911701
1,19,0.904976,1.357464,-1.961679
1,20,0.943198,1.414798,-2.019286
1,21,0.893743,1.340614,-1.944775
1,22,0.958161,1.437241,-2.041642
1,23,0.921322,1.381983,-1.986361
1,24,0.948062,1.422093,-2.026641
1,25,0.943340,1.415009,-2.019298
1,26,0.939943,1.409914,-2.014979
1,27,0.938264,1.407396,-2.011741
1,28,0.961795,1.442692,-2.047252
1,29,0.926733,1.390099,-1.994854
1,30,0.925698,1.388547,-1.993582
1,31,0.941893,1.412839,-2.018266
1,32,0.925109,1.387663,-1.993160
1,33,0.899717,1.349575,-1.955073
1,34,0.897238,1.345858,-1.951842
1,35,0.873584,1.310377,-1.915944
1,36,0.916384,1.374577,-1.981116
1,37,0.944183,1.416274,-2.023072
1,38,0.924940,1.387410,-1.994251
1,39,0.951474,1.427211,-2.034010
1,40,0.998794,1.498191,-2.104889
1,41,0.964626,1.446939,-2.053850
1,42,0.962229,1.443344,-2.050659
1,43,0.963150,1.444725,-2.051649
1,44,0.931248,1.396871,-2.003839
1,45,0.952140,1.428210,-2.034552
1,46,0.955699,1.433549,-2.039742
1,47,0.973228,1.459842,-2.066304
1,48,0.968730,1.453095,-2.059398
1,49,0.987265,1.480898,-2.087407
1,50,0.972475,1.458713,-2.065211
1,51,0.997133,1.495700,-2.102428
1,52,0.964907,1.447361,-2.053725
1,53,0.957664,1.436497,-2.042704
1,54,0.947413,1.421120,-2.027579
1,55,0.932457,1.398686,-2.004483
1,56,0.936687,1.405031,-2.011080
1,57,0.921738,1.382607,-1.988682
1,58,0.944460,1.416690,-2.022899
1,59,0.944102,1.416153,-2.021963
1,60,0.921137,1.381706,-1.987384
1,61,0.951812,1.427717,-2.033368
1,62,0.918879,1.378319,-1.983617
1,63,0.925231,1.387846,-1.994006
1,64,0.963743,1.445614,-2.051461
1,65,0.950142,1.425213,-2.031378
1,66,0.961759,1.442638,-2.048673
1,67,0.976655,1.464982,-2.071117
1,68,0.975462,1.463193,-2.068982
1,69,0.998913,1.498369,-2.104208
1,70,1.018416,1.527625,-2.133533
1,71,1.033420,1.550130,-2.156850
1,72,0.984983,1.477475,-2.084026
1,73,1.041149,1.561724,-2.168661
1,74,0.984102,1.476153,-2.082290
1,75,0.988432,1.482649,-2.088477
1,76,0.941585,1.412377,-2.017873
1,77,0.969746,1.454618,-2.060472
1,78,0.964147,1.446221,-2.051752
1,79,0.984663,1.476995,-2.082163
1,80,0.929045,1.393567,-1.998143
1,81,0.968641,1.452962,-2.058077
1,82,0.944582,1.416873,-2.022701
1,83,0.986294,1.479441,-2.084141
1,84,0.918142,1.377214,-1.981676
1,85,0.922108,1.383162,-1.988022
1,86,0.924915,1.387373,-1.992048
1,87,0.927620,1.391431,-1.996378
1,88,0.858221,1.287332,-1.892250
1,89,0.899199,1.348798,-1.953626
1,90,0.894036,1.341054,-1.945923
1,91,0.847497,1.271246,-1.875823
1,92,0.868587,1.302880,-1.907391
1,93,0.902385,1.353578,-1.957957
1,94,0.905524,1.358285,-1.962757
1,95,0.852548,1.278822,-1.883889
1,96,0.917962,1.376942,-1.982046
1,97,0.894925,1.342387,-1.946715
1,98,0.861497,1.292246,-1.896395
1,99,0.837957,1.256936,-1.860937
1,100,0.850482,1.275723,-1.880168
1,101,0.831091,1.246637,-1.851665
1,102,0.833286,1.249929,-1.854968
1,103,0.834107,1.251160,-1.855957
1,104,0.813581,1.220371,-1.825085
1,105,0.816145,1.224217,-1.828726
1,106,0.846602,1.269904,-1.874763
1,107,0.835065,1.252597,-1.856989
1,108,0.879548,1.319322,-1.924189
1,109,0.831053,1.246579,-1.851467
1,110,0.873129,1.309694,-1.915372
1,111,0.874907,1.312361,-1.918100
1,112,0.899674,1.349512,-1.955719
1,113,0.867238,1.300856,-1.906796
1,114,0.874259,1.311388,-1.917380
1,115,0.908690,1.363034,-1.968890
1,116,0.902711,1.354066,-1.960203
1,117,0.909096,1.363644,-1.969899
1,118,0.933932,1.400898,-2.007637
1,119,0.957112,1.435668,-2.042908
1,120,0.974693,1.462039,-2.069744
1,121,1.013511,1.520267,-2.127754
1,122,0.985240,1.477860,-2.085448
1,123,0.982959,1.474439,-2.082239
1,124,0.993939,1.490909,-2.098755
1,125,0.980318,1.470477,-2.078770
1,126,0.998459,1.497688,-2.105192
1,127,0.997257,1.495885,-2.103060
1,128,0.930666,1.395998,-2.003346
1,129,0.999013,1.498519,-2.106411
1,130,0.988367,1.482550,-2.090507
1,131,0.997139,1.495708,-2.104298
1,132,0.994455,1.491682,-2.100467
1,133,1.025123,1.537685,-2.146352
1,134,1.037157,1.555735,-2.164753
1,135,1.022880,1.534319,-2.143815
1,136,1.043534,1.565301,-2.175007
1,137,1.044154,1.566231,-2.176180
1,138,1.064184,1.596276,-2.207577
1,139,1.061806,1.592709,-2.203745
1,140,1.093612,1.640418,-2.250750
1,141,1.088678,1.633018,-2.244156
1,142,1.066671,1.600006,-2.212152
1,143,1.083460,1.625190,-2.236564
1,144,1.070873,1.606309,-2.217609
1,145,1.110875,1.666312,-2.278016
1,146,1.061312,1.591969,-2.203190
1,147,1.031599,1.547398,-2.158361
1,148,1.040608,1.560912,-2.172121
1,149,1.012813,1.519220,-2.129670
1,150,1.115332,1.672998,-2.283844
1,151,1.044169,1.566254,-2.177975
1,152,1.089573,1.634359,-2.245225
1,153,1.075754,1.613630,-2.224065
1,154,1.080956,1.621434,-2.231069
1,155,1.050124,1.575185,-2.184272
1,156,1.045405,1.568108,-2.177186
1,157,1.015736,1.523605,-2.132082
1,158,0.984169,1.476254,-2.085260
1,159,0.968811,1.453217,-2.062034
1,160,0.990751,1.486127,-2.094590
1,161,0.992700,1.489049,-2.096784
1,162,0.954186,1.431279,-2.038644
1,163,0.971516,1.457275,-2.064718
1,164,0.983688,1.475531,-2.082606
1,165,1.001444,1.502166,-2.109924
1,166,0.965784,1.448676,-2.055240
1,167,0.986386,1.479579,-2.086731
1,168,0.995550,1.493324,-2.100179
1,169,0.994374,1.491560,-2.098317
1,170,0.970414,1.455621,-2.062462
1,171,0.976938,1.465407,-2.071914
1,172,1.017673,1.526509,-2.132950
1,173,1.011776,1.517665,-2.124402
1,174,1.013508,1.520261,-2.126637
1,175,1.019214,1.528821,-2.135278
1,176,0.991160,1.486740,-2.094522
1,177,1.003764,1.505647,-2.113034
1,178,0.993950,1.490925,-2.098300
1,179,0.945155,1.417732,-2.024665
1,180,0.940968,1.411453,-2.018482
1,181,0.959360,1.439040,-2.046505
1,182,0.969321,1.453982,-2.061044
1,183,0.950115,1.425173,-2.032470
1,184,0.928490,1.392735,-2.000073
1,185,0.940119,1.410179,-2.017974
1,186,0.939918,1.409877,-2.018055
1,187,0.943597,1.415396,-2.022940
1,188,0.958952,1.438428,-2.046077
1,189,1.000128,1.500192,-2.107909
1,190,1.014002,1.521003,-2.128998
1,191,1.006914,1.510371,-2.118113
1,192,0.973972,1.460958,-2.068093
1,193,0.986741,1.480112,-2.087485
1,194,0.980014,1.470021,-2.077916
1,195,0.971585,1.457377,-2.066201
1,196,0.983739,1.475609,-2.084290
1,197,0.975906,1.463859,-2.071731
1,198,0.999260,1.498890,-2.107615
1,199,0.984809,1.477213,-2.085169
1,200,0.987436,1.481154,-2.089729
1,201,0.987095,1.480643,-2.088627
1,202,1.015216,1.522823,-2.131276
1,203,1.039938,1.559907,-2.168654
1,204,0.958260,1.437390,-2.046780
1,205,1.038604,1.557905,-2.166837
1,206,0.992070,1.488105,-2.097315
1,207,0.989685,1.484527,-2.093416
1,208,1.022184,1.533275,-2.142686
1,209,1.018814,1.528221,-2.137429
1,210,1.012248,1.518372,-2.126866
1,211,1.010089,1.515133,-2.123427
1,212,1.039158,1.558737,-2.167481
1,213,1.029115,1.543673,-2.151964
1,214,1.004962,1.507443,-2.115884
1,215,1.013314,1.519972,-2.128409
1,216,1.044772,1.567158,-2.176130
1,217,1.003246,1.504869,-2.114006
1,218,0.992185,1.488278,-2.096927
